episode,timestep,reward
19,1000,-192.2784
39,2000,-200.4838
59,3000,-183.8177
79,4000,-181.7185
99,5000,-181.1592
119,6000,-178.9161
139,7000,-193.1787
159,8000,-186.8788
179,9000,-199.3155
199,10000,-197.0123
219,11000,-195.1407
239,12000,-199.6713
259,13000,-199.6084
279,14000,-191.9603
299,15000,-193.7364
319,16000,-188.6099
