episode,timestep,reward
3311,165600,-118.9411
3323,166200,-136.9211
3335,166800,-110.6068
3347,167400,-139.0567
3359,168000,-133.9178
3371,168600,-137.4295
3383,169200,-139.9183
3395,169800,-123.0539
3407,170400,-129.3365
3419,171000,-123.2891
3431,171600,-134.2165
3443,172200,-114.9005
3455,172800,-123.5068
3467,173400,-129.2174
3479,174000,-127.1029
3491,174600,-149.6315
3503,175200,-131.4572
3515,175800,-103.8206
3527,176400,-117.7565
3539,177000,-129.0376
3551,177600,-172.3397
3563,178200,-142.1652
3575,178800,-135.578
3587,179400,-124.2515
3599,180000,-137.0444
3611,180600,-140.747
3623,181200,-167.0695
3635,181800,-111.4336
3647,182400,-135.1917
3659,183000,-152.8122
3671,183600,-156.1074
3683,184200,-135.5706
3695,184800,-139.4077
3707,185400,-149.7182
3719,186000,-144.0158
3731,186600,-109.6641
3743,187200,-151.3996
3755,187800,-140.0219
3767,188400,-144.5
3779,189000,-143.8888
3791,189600,-127.3718
3803,190200,-152.926
3815,190800,-128.6911
3827,191400,-129.4922
3839,192000,-127.2291
3851,192600,-110.0637
3863,193200,-114.8353
3875,193800,-133.6678
3887,194400,-131.3788
3899,195000,-159.2954
3911,195600,-147.7924
3923,196200,-141.2659
3935,196800,-121.9492
3947,197400,-139.7526
3959,198000,-147.756
3971,198600,-134.5274
3983,199200,-166.3053
3995,199800,-149.2174
4007,200400,-90.0285
4019,201000,-124.2478
4031,201600,-120.3455
4043,202200,-133.7476
4055,202800,-132.5285
4067,203400,-140.7146
4079,204000,-145.5422
4091,204600,-127.1289
4103,205200,-133.9847
4115,205800,-132.9591
4127,206400,-157.1219
4139,207000,-131.6705
4151,207600,-141.5949
4163,208200,-116.7913
4175,208800,-115.2742
4187,209400,-116.152
4199,210000,-140.9568
4211,210600,-113.8435
4223,211200,-125.4887
4235,211800,-129.2493
4247,212400,-122.8982
4259,213000,-133.2364
4271,213600,-140.753
4283,214200,-103.8282
4295,214800,-141.528
4307,215400,-126.4896
4319,216000,-124.926
4331,216600,-130.5
4343,217200,-119.8769
4355,217800,-136.7169
4367,218400,-114.1935
4379,219000,-127.9731
4391,219600,-146.3976
4403,220200,-138.2661
4415,220800,-131.7254
4427,221400,-136.9162
4439,222000,-147.4225
4451,222600,-112.8817
4463,223200,-124.7035
4475,223800,-120.2632
4487,224400,-135.0874
4499,225000,-123.0778
4511,225600,-139.4872
4523,226200,-146.815
4535,226800,-120.2038
4547,227400,-120.0448
4559,228000,-146.7351
4571,228600,-143.1317
4583,229200,-147.5161
4595,229800,-129.7199
4607,230400,-105.3466
4619,231000,-131.3867
4631,231600,-135.6604
4643,232200,-130.1234
4655,232800,-119.839
4667,233400,-102.0209
4679,234000,-110.9789
4691,234600,-142.5581
4703,235200,-124.6941
