episode,timestep,reward
5,300,-168.9443
11,600,-193.1681
17,900,-186.937
23,1200,-183.6144
29,1500,-155.887
35,1800,-147.0815
41,2100,-184.3882
47,2400,-156.7947
53,2700,-160.1444
59,3000,-130.7977
65,3300,-140.7226
71,3600,-184.0138
77,3900,-90.2467
83,4200,-145.8943
89,4500,-97.0693
95,4800,-172.4552
101,5100,-129.9023
107,5400,-123.9065
113,5700,-155.396
119,6000,-113.8232
125,6300,-141.9425
131,6600,-125.4226
137,6900,-150.3442
143,7200,-87.1911
149,7500,-142.734
155,7800,-144.0973
161,8100,-136.3224
167,8400,-118.014
173,8700,-123.6653
179,9000,-147.4589
185,9300,-118.664
191,9600,-109.2458
197,9900,-124.9364
203,10200,-120.0817
209,10500,-136.8584
215,10800,-119.3384
221,11100,-122.2184
227,11400,-122.1787
233,11700,-140.9281
239,12000,-99.0646
245,12300,-118.6237
251,12600,-132.7133
257,12900,-140.6839
263,13200,-108.4352
269,13500,-115.5687
275,13800,-103.0279
281,14100,-151.9567
287,14400,-105.7142
293,14700,-143.8357
299,15000,-110.4559
305,15300,-93.6074
311,15600,-153.7884
317,15900,-136.8948
323,16200,-108.7449
329,16500,-129.1107
335,16800,-168.6978
341,17100,-151.1591
347,17400,-123.823
353,17700,-157.7769
359,18000,-133.5007
365,18300,-132.4016
371,18600,-137.1909
377,18900,-138.2518
383,19200,-114.1103
389,19500,-115.0392
395,19800,-120.528
401,20100,-121.8123
407,20400,-164.3964
413,20700,-86.356
419,21000,-112.4605
425,21300,-141.4414
431,21600,-139.8822
437,21900,-92.6625
443,22200,-119.3497
449,22500,-119.51
455,22800,-114.3893
461,23100,-130.8371
467,23400,-125.2894
473,23700,-156.8305
479,24000,-153.3807
485,24300,-148.1565
491,24600,-144.4176
497,24900,-132.9831
503,25200,-91.7731
509,25500,-131.2168
515,25800,-130.8949
521,26100,-137.168
527,26400,-149.6894
533,26700,-175.9528
539,27000,-150.4419
545,27300,-132.849
551,27600,-136.4804
557,27900,-166.2155
563,28200,-178.1583
569,28500,-150.3367
575,28800,-166.7192
581,29100,-122.4625
587,29400,-114.2471
593,29700,-160.676
599,30000,-86.1803
605,30300,-122.386
611,30600,-149.8277
617,30900,-122.0209
623,31200,-143.2232
629,31500,-114.89
635,31800,-111.7042
641,32100,-126.4914
647,32400,-122.3254
653,32700,-127.4579
659,33000,-136.103
665,33300,-143.7194
671,33600,-108.5494
677,33900,-119.8629
683,34200,-132.5468
689,34500,-104.5061
695,34800,-135.9779
701,35100,-124.0411
707,35400,-138.8765
713,35700,-133.3149
719,36000,-112.9586
725,36300,-139.782
731,36600,-97.1553
737,36900,-131.2111
743,37200,-140.7481
749,37500,-104.2358
755,37800,-103.7301
761,38100,-106.7878
767,38400,-124.6375
773,38700,-137.1615
779,39000,-115.5679
785,39300,-131.9938
791,39600,-118.6369
797,39900,-134.3085
803,40200,-135.8364
809,40500,-140.3124
815,40800,-143.7681
821,41100,-137.8406
827,41400,-119.5713
833,41700,-99.8732
839,42000,-147.7436
845,42300,-117.4069
851,42600,-111.2696
857,42900,-122.9009
863,43200,-121.2495
869,43500,-143.5546
875,43800,-145.1331
881,44100,-90.0834
887,44400,-103.9626
893,44700,-123.08
899,45000,-142.9287
905,45300,-118.273
911,45600,-150.1409
917,45900,-100.5709
923,46200,-140.2904
929,46500,-106.3416
935,46800,-123.9743
941,47100,-148.2092
947,47400,-140.9236
953,47700,-109.7936
959,48000,-144.1062
965,48300,-152.3587
971,48600,-120.7529
977,48900,-147.8738
983,49200,-131.9224
989,49500,-112.5095
995,49800,-93.644
1001,50100,-81.5649
1007,50400,-143.9341
1013,50700,-131.0892
1019,51000,-100.6967
1025,51300,-108.6223
1031,51600,-142.4345
1037,51900,-173.0272
1043,52200,-108.9848
1049,52500,-106.3501
1055,52800,-130.3467
1061,53100,-126.543
1067,53400,-132.1943
1073,53700,-123.3391
1079,54000,-136.5513
1085,54300,-130.42
1091,54600,-123.9516
1097,54900,-119.3636
1103,55200,-126.2113
1109,55500,-134.8956
1115,55800,-117.1099
1121,56100,-152.2526
1127,56400,-144.5338
1133,56700,-132.6123
1139,57000,-138.072
1145,57300,-128.2087
1151,57600,-156.7934
1157,57900,-155.5937
1163,58200,-131.728
1169,58500,-116.5609
1175,58800,-146.7712
1181,59100,-125.5828
1187,59400,-140.8297
1193,59700,-127.3575
1199,60000,-150.7294
1205,60300,-112.9982
1211,60600,-135.4567
1217,60900,-107.9416
1223,61200,-124.8014
1229,61500,-147.2706
1235,61800,-141.2569
1241,62100,-133.5488
1247,62400,-123.8744
1253,62700,-106.9563
1259,63000,-148.2613
1265,63300,-159.5746
1271,63600,-107.0213
1277,63900,-118.9851
1283,64200,-111.7746
1289,64500,-134.9561
1295,64800,-108.1143
1301,65100,-130.6178
1307,65400,-116.2747
1313,65700,-136.963
1319,66000,-112.505
1325,66300,-138.1908
1331,66600,-132.7489
1337,66900,-117.7684
1343,67200,-130.9244
1349,67500,-113.5952
1355,67800,-161.9484
1361,68100,-115.32
1367,68400,-147.4297
1373,68700,-130.9104
1379,69000,-123.5314
1385,69300,-121.8266
1391,69600,-155.1884
1397,69900,-126.1212
1403,70200,-113.3597
1409,70500,-130.9053
1415,70800,-144.3732
1421,71100,-132.9565
1427,71400,-123.0826
1433,71700,-121.1482
1439,72000,-130.4129
1445,72300,-103.9115
1451,72600,-146.9294
1457,72900,-145.6415
1463,73200,-130.2852
1469,73500,-138.4555
1475,73800,-139.3261
1481,74100,-153.0598
1487,74400,-129.2702
1493,74700,-136.5592
1499,75000,-124.6187
1505,75300,-126.3751
1511,75600,-150.6135
1517,75900,-137.8455
1523,76200,-116.5383
1529,76500,-95.41
1535,76800,-164.7497
1541,77100,-121.2479
1547,77400,-152.0305
1553,77700,-146.9513
1559,78000,-118.2711
1565,78300,-130.8908
1571,78600,-166.8343
1577,78900,-126.7208
1583,79200,-147.5476
1589,79500,-147.6262
1595,79800,-113.7523
1601,80100,-113.7659
1607,80400,-148.6238
1613,80700,-139.0114
1619,81000,-110.037
1625,81300,-126.9693
1631,81600,-162.0674
1637,81900,-138.0543
1643,82200,-130.5174
1649,82500,-117.396
1655,82800,-116.0458
1661,83100,-125.861
1667,83400,-120.5664
1673,83700,-113.8289
1679,84000,-142.7583
1685,84300,-159.1465
1691,84600,-139.6193
1697,84900,-122.2369
1703,85200,-129.6275
1709,85500,-141.6875
1715,85800,-110.3697
1721,86100,-125.8555
1727,86400,-130.6856
1733,86700,-111.4236
1739,87000,-92.0961
1745,87300,-103.8241
1751,87600,-121.3936
1757,87900,-97.0036
1763,88200,-98.0558
1769,88500,-118.8022
1775,88800,-82.6153
1781,89100,-121.0931
1787,89400,-149.2973
1793,89700,-135.9758
1799,90000,-108.9049
1805,90300,-137.1263
1811,90600,-115.5561
1817,90900,-159.9917
1823,91200,-127.6523
1829,91500,-141.8665
1835,91800,-146.2281
1841,92100,-142.6805
1847,92400,-150.8934
1853,92700,-133.7111
1859,93000,-134.9361
1865,93300,-121.1545
1871,93600,-139.1813
1877,93900,-147.4959
1883,94200,-108.0806
1889,94500,-135.0658
1895,94800,-115.4773
1901,95100,-120.7856
1907,95400,-145.065
1913,95700,-93.8059
1919,96000,-126.9879
1925,96300,-117.2671
1931,96600,-146.5913
1937,96900,-137.0618
1943,97200,-145.6666
1949,97500,-132.2573
1955,97800,-125.5656
1961,98100,-129.6561
1967,98400,-125.9173
1973,98700,-136.6286
1979,99000,-118.0094
1985,99300,-95.9204
1991,99600,-117.0254
1997,99900,-112.7571
2003,100200,-127.8647
2009,100500,-128.8871
2015,100800,-119.3568
2021,101100,-114.1688
2027,101400,-122.3119
2033,101700,-86.9881
2039,102000,-104.8157
2045,102300,-104.4743
2051,102600,-142.4695
2057,102900,-94.1327
2063,103200,-106.5821
2069,103500,-124.1802
2075,103800,-136.6392
2081,104100,-125.3141
2087,104400,-112.7654
2093,104700,-118.1242
2099,105000,-130.0249
2105,105300,-139.3461
2111,105600,-136.0845
2117,105900,-92.6758
2123,106200,-123.5646
2129,106500,-113.9321
2135,106800,-131.0451
2141,107100,-133.3477
2147,107400,-141.5376
2153,107700,-133.1595
2159,108000,-111.9822
2165,108300,-128.6678
2171,108600,-118.6176
2177,108900,-108.9217
2183,109200,-109.2273
2189,109500,-120.0318
2195,109800,-99.4498
2201,110100,-120.7906
2207,110400,-112.577
2213,110700,-130.8767
2219,111000,-110.0621
2225,111300,-128.2131
2231,111600,-101.2325
2237,111900,-137.2697
2243,112200,-124.1577
