episode,timestep,reward
1691,84600,-107.0661
1697,84900,-134.7366
1703,85200,-120.9916
1709,85500,-125.0023
1715,85800,-106.862
1721,86100,-146.4593
1727,86400,-136.7552
1733,86700,-132.0774
1739,87000,-143.9874
1745,87300,-131.5256
1751,87600,-136.7957
1757,87900,-146.2715
1763,88200,-136.4463
1769,88500,-114.7958
1775,88800,-145.4437
1781,89100,-155.9022
1787,89400,-100.1181
1793,89700,-97.2592
1799,90000,-139.5457
1805,90300,-99.9561
1811,90600,-90.4129
1817,90900,-152.4215
1823,91200,-135.6487
1829,91500,-146.2009
1835,91800,-97.6725
1841,92100,-130.4888
1847,92400,-126.5115
1853,92700,-132.239
1859,93000,-156.8468
1865,93300,-134.638
1871,93600,-122.6742
1877,93900,-147.8959
1883,94200,-111.7917
1889,94500,-154.0776
1895,94800,-125.7606
1901,95100,-114.5731
1907,95400,-127.3752
1913,95700,-125.8883
1919,96000,-129.3145
1925,96300,-141.0434
1931,96600,-145.6426
1937,96900,-125.4208
1943,97200,-149.0203
1949,97500,-137.1068
1955,97800,-133.6925
1961,98100,-140.0875
1967,98400,-141.5264
1973,98700,-120.5746
1979,99000,-127.2577
1985,99300,-115.3546
1991,99600,-160.7826
1997,99900,-117.5562
2003,100200,-160.6088
2009,100500,-150.7177
2015,100800,-135.9392
2021,101100,-152.802
2027,101400,-136.9087
2033,101700,-116.1372
2039,102000,-119.8869
2045,102300,-160.1486
2051,102600,-134.8027
2057,102900,-95.5521
2063,103200,-161.2566
2069,103500,-114.7407
2075,103800,-108.8572
2081,104100,-153.0847
2087,104400,-139.6489
2093,104700,-121.0636
2099,105000,-150.9667
2105,105300,-173.722
2111,105600,-139.9122
2117,105900,-106.9142
2123,106200,-116.6985
2129,106500,-147.6032
2135,106800,-100.2893
2141,107100,-168.3366
2147,107400,-149.7605
2153,107700,-143.3158
2159,108000,-142.1864
2165,108300,-139.3602
2171,108600,-111.4764
2177,108900,-108.6537
2183,109200,-110.5202
2189,109500,-125.1369
