episode,timestep,reward
5,300,-184.251
11,600,-161.4413
17,900,-171.9305
23,1200,-143.0577
29,1500,-129.2903
35,1800,-130.1371
41,2100,-146.0749
47,2400,-160.362
53,2700,-124.79
59,3000,-122.0958
65,3300,-93.9195
71,3600,-103.7584
77,3900,-116.6742
83,4200,-128.7513
89,4500,-110.5777
95,4800,-137.601
101,5100,-105.3731
107,5400,-117.3921
113,5700,-121.159
119,6000,-132.1445
125,6300,-122.8319
131,6600,-143.5388
137,6900,-146.4808
143,7200,-145.5032
149,7500,-143.047
155,7800,-93.8956
161,8100,-102.4639
167,8400,-125.8569
173,8700,-143.057
179,9000,-110.5721
185,9300,-113.3089
191,9600,-113.8276
197,9900,-125.2841
203,10200,-133.0639
209,10500,-118.9133
215,10800,-128.574
221,11100,-110.086
227,11400,-105.0909
233,11700,-136.1218
239,12000,-110.2431
245,12300,-127.2707
251,12600,-129.6192
257,12900,-118.3276
263,13200,-116.9059
269,13500,-111.0914
275,13800,-127.2062
281,14100,-128.5903
287,14400,-109.2748
293,14700,-109.1259
299,15000,-131.9301
305,15300,-118.1081
311,15600,-139.7604
317,15900,-91.9998
323,16200,-111.4159
329,16500,-118.6715
335,16800,-118.2914
341,17100,-112.918
347,17400,-114.5071
353,17700,-146.5212
359,18000,-126.1298
365,18300,-122.1811
371,18600,-131.709
377,18900,-133.5698
383,19200,-108.8383
389,19500,-108.66
395,19800,-125.2293
401,20100,-113.6213
407,20400,-131.9092
413,20700,-121.7032
419,21000,-132.2879
425,21300,-113.2463
431,21600,-145.1695
437,21900,-116.5422
443,22200,-122.5102
449,22500,-142.1817
455,22800,-124.6689
461,23100,-119.6713
467,23400,-108.8098
473,23700,-125.8408
479,24000,-138.7157
485,24300,-132.3968
491,24600,-120.4903
497,24900,-129.1185
503,25200,-131.6199
509,25500,-107.0257
515,25800,-134.6795
521,26100,-125.8636
527,26400,-111.8299
533,26700,-126.8623
539,27000,-126.9053
545,27300,-131.8666
551,27600,-162.2178
557,27900,-114.0407
563,28200,-148.1555
569,28500,-148.814
575,28800,-152.1244
581,29100,-143.5258
587,29400,-112.9583
593,29700,-127.712
599,30000,-121.5875
605,30300,-140.3127
611,30600,-148.1029
617,30900,-103.7737
623,31200,-137.4922
629,31500,-110.8761
635,31800,-105.8566
641,32100,-160.9074
647,32400,-108.2423
653,32700,-135.2775
659,33000,-115.1015
665,33300,-124.8816
671,33600,-115.3452
677,33900,-109.7394
683,34200,-140.6779
689,34500,-130.6683
695,34800,-122.5991
701,35100,-134.9314
707,35400,-130.591
713,35700,-129.9828
719,36000,-134.5162
725,36300,-105.8487
731,36600,-131.0435
737,36900,-122.1511
743,37200,-125.3486
749,37500,-112.891
755,37800,-129.5192
761,38100,-138.9542
767,38400,-143.8021
773,38700,-125.9875
779,39000,-134.7501
785,39300,-146.22
791,39600,-112.3899
797,39900,-147.1666
803,40200,-137.0092
809,40500,-133.8666
815,40800,-156.783
821,41100,-131.1549
827,41400,-113.0905
833,41700,-147.4849
839,42000,-145.2482
845,42300,-113.3329
851,42600,-150.3954
857,42900,-131.4958
863,43200,-141.9463
869,43500,-145.2096
875,43800,-138.9935
881,44100,-101.8157
887,44400,-158.8559
893,44700,-125.8001
899,45000,-130.9885
905,45300,-126.7199
911,45600,-144.094
917,45900,-145.7373
923,46200,-142.3711
929,46500,-135.1791
935,46800,-138.5745
941,47100,-145.1133
947,47400,-144.3019
953,47700,-124.043
959,48000,-140.9256
965,48300,-125.2988
971,48600,-113.1125
977,48900,-141.0948
