episode,timestep,reward
5,300,26.0512
11,600,25.1742
17,900,36.9139
23,1200,38.8707
29,1500,79.341
35,1800,29.1903
41,2100,41.7544
47,2400,37.3567
53,2700,39.1704
59,3000,64.4978
65,3300,45.9838
71,3600,52.6
77,3900,37.9415
83,4200,42.9588
89,4500,40.285
95,4800,59.6355
101,5100,35.4452
107,5400,39.132
113,5700,43.7015
119,6000,30.4252
125,6300,46.3252
131,6600,63.9015
137,6900,39.4096
143,7200,99.6706
149,7500,56.7844
155,7800,29.836
161,8100,51.1422
167,8400,47.3391
173,8700,53.4189
179,9000,63.0004
185,9300,48.2083
191,9600,30.884
197,9900,35.9604
203,10200,38.8692
209,10500,34.4835
215,10800,62.1988
221,11100,59.7558
227,11400,38.3749
233,11700,28.5781
239,12000,37.4603
245,12300,78.0369
251,12600,59.374
257,12900,74.9124
263,13200,72.0535
269,13500,56.9327
275,13800,82.6548
281,14100,65.3846
287,14400,75.7454
293,14700,56.4522
299,15000,54.7598
305,15300,43.2124
311,15600,12.8095
317,15900,60.8231
323,16200,77.5234
329,16500,30.2378
335,16800,74.2488
341,17100,82.547
347,17400,83.1423
353,17700,51.4146
359,18000,68.1074
365,18300,53.8928
371,18600,44.2532
377,18900,75.8369
383,19200,51.855
389,19500,78.8144
395,19800,56.0452
401,20100,78.8995
407,20400,37.7303
413,20700,51.8551
419,21000,59.8952
425,21300,62.145
431,21600,48.7589
437,21900,64.6833
443,22200,58.9412
449,22500,80.0694
455,22800,46.0289
461,23100,36.1008
467,23400,67.5323
473,23700,29.6912
479,24000,35.6893
485,24300,81.2364
491,24600,90.5541
497,24900,65.8758
503,25200,37.1688
509,25500,32.6042
515,25800,61.713
521,26100,42.3411
527,26400,29.682
533,26700,29.6421
539,27000,36.5145
545,27300,24.6181
551,27600,51.3091
557,27900,62.5507
563,28200,64.2604
569,28500,32.3857
575,28800,70.688
581,29100,53.8571
587,29400,59.1724
593,29700,32.6447
599,30000,36.4746
605,30300,41.7239
611,30600,47.4652
617,30900,83.2744
623,31200,47.0923
629,31500,59.8108
635,31800,40.7468
641,32100,71.0228
647,32400,74.6514
653,32700,82.2638
659,33000,54.5405
665,33300,88.2881
671,33600,91.9202
677,33900,57.0984
683,34200,65.9723
689,34500,57.1896
695,34800,44.2989
701,35100,117.9523
707,35400,71.4867
713,35700,89.8839
719,36000,72.5743
725,36300,60.2209
731,36600,53.017
737,36900,57.2118
743,37200,95.815
749,37500,82.9135
755,37800,68.7202
761,38100,96.9071
767,38400,98.2841
773,38700,110.7457
779,39000,114.7539
785,39300,61.1135
791,39600,71.5169
797,39900,73.3919
803,40200,80.5198
809,40500,137.6003
815,40800,81.4811
821,41100,75.871
827,41400,75.6771
833,41700,92.947
839,42000,84.1021
845,42300,82.0828
851,42600,112.3885
857,42900,72.7055
863,43200,90.7114
869,43500,74.9064
875,43800,103.7059
881,44100,110.8476
887,44400,79.1863
893,44700,60.9837
899,45000,68.2631
905,45300,70.4052
911,45600,101.51
917,45900,57.8998
923,46200,94.9518
929,46500,84.6113
935,46800,95.5433
941,47100,162.6791
947,47400,87.4633
953,47700,103.6315
959,48000,122.757
965,48300,107.3953
971,48600,83.0864
977,48900,121.2994
983,49200,106.8145
989,49500,116.3564
995,49800,121.1955
1001,50100,102.7832
1007,50400,156.7688
1013,50700,167.4821
1019,51000,99.7265
1025,51300,173.2329
1031,51600,172.5434
1037,51900,213.1085
1043,52200,154.7816
1049,52500,141.5289
1055,52800,130.9875
1061,53100,155.3057
1067,53400,138.0891
1073,53700,130.6419
1079,54000,167.5282
1085,54300,153.3907
1091,54600,180.757
1097,54900,124.7276
1103,55200,164.1214
1109,55500,183.7064
1115,55800,138.5628
1121,56100,140.3535
1127,56400,154.884
1133,56700,115.514
1139,57000,184.711
1145,57300,144.6159
1151,57600,149.9306
1157,57900,160.9602
1163,58200,185.8218
1169,58500,172.2937
1175,58800,194.7588
1181,59100,153.2119
1187,59400,187.4014
1193,59700,183.8372
1199,60000,167.6311
1205,60300,193.5162
1211,60600,167.2548
1217,60900,88.2673
1223,61200,203.0202
1229,61500,167.9196
1235,61800,157.3189
1241,62100,168.6804
1247,62400,162.9935
1253,62700,174.1884
1259,63000,178.9267
1265,63300,230.9896
1271,63600,219.4338
1277,63900,184.3549
1283,64200,219.4315
1289,64500,204.1732
1295,64800,219.858
1301,65100,187.0726
1307,65400,222.6168
1313,65700,180.4911
1319,66000,166.6602
1325,66300,170.6604
1331,66600,177.0768
1337,66900,187.9166
1343,67200,209.9687
1349,67500,213.8441
1355,67800,236.8082
1361,68100,229.1992
1367,68400,170.9887
1373,68700,179.0049
1379,69000,173.0621
1385,69300,209.3693
1391,69600,193.5603
1397,69900,217.7234
1403,70200,216.7923
1409,70500,213.4124
1415,70800,194.5445
1421,71100,197.6574
1427,71400,188.8759
1433,71700,192.3491
1439,72000,248.5134
1445,72300,211.4954
1451,72600,225.0833
1457,72900,189.7799
1463,73200,187.6027
1469,73500,195.408
1475,73800,205.9521
1481,74100,218.289
1487,74400,171.7015
1493,74700,208.4713
1499,75000,203.9869
1505,75300,186.6407
1511,75600,212.3124
1517,75900,232.4751
1523,76200,191.6105
1529,76500,178.7888
1535,76800,200.938
1541,77100,193.5812
1547,77400,193.7515
1553,77700,203.7591
1559,78000,191.7328
1565,78300,197.3859
1571,78600,254.9786
1577,78900,219.6224
1583,79200,240.624
1589,79500,200.4346
1595,79800,243.7831
1601,80100,207.6771
1607,80400,189.2631
1613,80700,219.152
1619,81000,227.0951
1625,81300,209.8917
1631,81600,225.2576
1637,81900,244.8938
1643,82200,205.2438
1649,82500,246.3872
1655,82800,217.5215
1661,83100,254.323
1667,83400,212.3542
1673,83700,256.1673
1679,84000,229.6979
1685,84300,191.812
1691,84600,217.1081
1697,84900,225.631
1703,85200,207.9602
1709,85500,211.1974
1715,85800,135.3974
1721,86100,213.4509
1727,86400,255.5097
1733,86700,169.9951
1739,87000,205.5304
1745,87300,211.018
1751,87600,231.2026
1757,87900,212.3745
1763,88200,230.2044
1769,88500,252.9944
1775,88800,236.37
1781,89100,211.9684
1787,89400,225.1565
1793,89700,223.836
1799,90000,195.9198
1805,90300,270.4029
1811,90600,237.9334
1817,90900,216.6784
1823,91200,257.1761
1829,91500,215.8931
1835,91800,234.2885
1841,92100,244.2765
1847,92400,260.1217
1853,92700,209.7491
1859,93000,217.0497
1865,93300,239.635
1871,93600,267.8257
1877,93900,242.8835
1883,94200,247.7282
1889,94500,200.9552
1895,94800,224.4213
1901,95100,202.2393
1907,95400,222.9337
1913,95700,219.1615
1919,96000,222.7308
1925,96300,220.3532
1931,96600,217.2918
1937,96900,267.2606
1943,97200,194.9092
1949,97500,251.7162
1955,97800,189.525
1961,98100,257.4888
1967,98400,238.2894
1973,98700,212.7983
1979,99000,159.624
1985,99300,233.8544
1991,99600,250.521
1997,99900,209.7501
2003,100200,243.3259
2009,100500,237.497
2015,100800,258.0295
2021,101100,273.5948
2027,101400,222.125
2033,101700,244.2292
2039,102000,273.7836
2045,102300,234.41
2051,102600,233.085
2057,102900,232.0654
2063,103200,234.3706
2069,103500,214.9423
2075,103800,245.6319
2081,104100,268.3007
2087,104400,261.1745
2093,104700,277.0404
2099,105000,280.4853
2105,105300,249.5953
2111,105600,242.9435
2117,105900,217.275
2123,106200,261.6697
2129,106500,278.1028
2135,106800,255.3037
2141,107100,270.2002
2147,107400,268.5119
2153,107700,269.9006
2159,108000,272.4849
2165,108300,221.9975
2171,108600,234.7178
2177,108900,278.9714
2183,109200,276.8957
2189,109500,259.4011
2195,109800,236.0889
2201,110100,255.3295
2207,110400,271.723
2213,110700,245.6702
2219,111000,229.6605
2225,111300,255.5396
2231,111600,242.7524
2237,111900,227.8159
2243,112200,249.3514
2249,112500,257.1474
2255,112800,278.5787
2261,113100,279.3989
2267,113400,244.7753
2273,113700,270.1975
2279,114000,259.9033
2285,114300,271.5872
2291,114600,246.3755
2297,114900,268.2455
2303,115200,288.7792
2309,115500,274.2697
2315,115800,229.9013
2321,116100,254.9663
2327,116400,247.8273
2333,116700,265.897
2339,117000,251.1941
2345,117300,186.3616
2351,117600,278.4763
2357,117900,284.7662
2363,118200,267.4106
2369,118500,249.3204
2375,118800,286.1462
2381,119100,200.6026
2387,119400,239.3537
2393,119700,246.2501
2399,120000,197.4814
2405,120300,230.9198
2411,120600,226.8153
2417,120900,214.7323
2423,121200,262.8507
2429,121500,195.8041
2435,121800,240.5445
2441,122100,223.5253
2447,122400,191.4373
2453,122700,264.5237
2459,123000,252.2138
2465,123300,252.8306
2471,123600,242.5573
2477,123900,263.8316
2483,124200,248.8144
2489,124500,304.8691
2495,124800,206.6246
2501,125100,209.7244
2507,125400,242.6665
2513,125700,229.8385
2519,126000,225.789
2525,126300,200.963
2531,126600,195.4631
2537,126900,219.5621
2543,127200,262.7341
2549,127500,255.9641
2555,127800,238.0537
2561,128100,270.2745
2567,128400,232.8547
2573,128700,227.8209
2579,129000,270.0496
2585,129300,233.5873
2591,129600,237.3858
2597,129900,249.921
2603,130200,201.431
2609,130500,286.9083
2615,130800,209.4134
2621,131100,197.5194
2627,131400,260.2627
2633,131700,271.8987
2639,132000,198.0287
2645,132300,191.4402
2651,132600,274.4278
2657,132900,230.0468
2663,133200,216.9705
2669,133500,284.4234
2675,133800,248.0074
2681,134100,270.0212
2687,134400,246.716
2693,134700,253.6383
2699,135000,266.2187
2705,135300,244.9705
2711,135600,258.5953
2717,135900,251.3756
2723,136200,267.6853
2729,136500,250.0264
2735,136800,277.5471
2741,137100,272.7228
2747,137400,268.1762
2753,137700,234.6876
2759,138000,269.1033
2765,138300,262.1656
2771,138600,247.859
2777,138900,242.2697
2783,139200,243.76
2789,139500,270.3348
2795,139800,248.2865
2801,140100,245.609
2807,140400,275.732
2813,140700,254.4229
2819,141000,232.1334
2825,141300,215.629
2831,141600,260.4687
2837,141900,236.9652
2843,142200,267.6199
2849,142500,250.9677
2855,142800,247.0775
2861,143100,276.8339
2867,143400,253.9672
2873,143700,249.5878
2879,144000,207.9008
2885,144300,278.4354
2891,144600,238.8632
2897,144900,250.7486
2903,145200,274.8406
2909,145500,235.7236
2915,145800,256.7188
2921,146100,265.43
2927,146400,247.9548
2933,146700,247.1077
2939,147000,262.6569
2945,147300,232.4418
2951,147600,289.7853
2957,147900,224.9418
2963,148200,236.1921
2969,148500,213.9617
2975,148800,211.8665
2981,149100,271.4995
2987,149400,227.9526
2993,149700,231.4269
2999,150000,221.58
3005,150300,279.1368
3011,150600,263.3456
3017,150900,305.429
3023,151200,269.8552
3029,151500,252.2871
3035,151800,261.3757
3041,152100,257.7791
3047,152400,222.8062
3053,152700,255.406
3059,153000,288.8186
3065,153300,249.9105
3071,153600,216.5132
3077,153900,228.5532
3083,154200,213.2882
3089,154500,237.1286
3095,154800,257.6143
3101,155100,255.6368
3107,155400,236.0573
3113,155700,281.9745
3119,156000,258.4597
3125,156300,245.3879
3131,156600,281.8954
3137,156900,249.0397
3143,157200,259.3534
3149,157500,227.9141
3155,157800,246.7961
3161,158100,260.6214
3167,158400,217.3717
3173,158700,222.2238
3179,159000,244.443
3185,159300,233.6714
3191,159600,260.9628
3197,159900,245.7932
3203,160200,248.6999
3209,160500,241.7428
3215,160800,222.6719
3221,161100,221.393
3227,161400,235.2925
3233,161700,227.7784
3239,162000,218.7848
3245,162300,226.1961
3251,162600,215.614
3257,162900,232.398
3263,163200,239.7115
3269,163500,241.2948
3275,163800,220.852
3281,164100,278.4304
3287,164400,229.7671
3293,164700,249.7031
3299,165000,241.1086
3305,165300,233.0077
3311,165600,263.7981
3317,165900,239.3978
3323,166200,253.0597
3329,166500,232.1564
3335,166800,249.5499
3341,167100,256.7986
3347,167400,259.3019
3353,167700,275.7369
3359,168000,251.3057
3365,168300,301.6896
3371,168600,266.2731
3377,168900,241.9066
3383,169200,287.9445
3389,169500,284.6903
3395,169800,224.7999
3401,170100,254.8201
3407,170400,285.3813
3413,170700,274.1584
3419,171000,260.8779
3425,171300,254.138
3431,171600,266.7214
3437,171900,290.867
3443,172200,218.0199
3449,172500,267.7704
